TIMESTAMP,DATE,MTU START (EEST),Installed Capacity MW,Max Producable MW (Rated),Availability MW,Max Produceable MW (Available),Availability %,Bid Capacity MW,Day Ahead Planned MW,Metered Production MW,Consumption MW,Net Export MW,Imbalance ,% Imbalance,Imbalance Sale MW,Imbalance Purchase MW
2025-08-01 00:00:00,2025-08-01,00:00:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 00:15:00,2025-08-01,2025-08-01 00:15:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 00:30:00,2025-08-01,2025-08-01 00:30:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 00:45:00,2025-08-01,2025-08-01 00:45:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 01:00:00,2025-08-01,2025-08-01 01:00:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 01:15:00,2025-08-01,2025-08-01 01:15:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 01:30:00,2025-08-01,2025-08-01 01:30:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 01:45:00,2025-08-01,2025-08-01 01:45:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 02:00:00,2025-08-01,2025-08-01 02:00:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 02:15:00,2025-08-01,2025-08-01 02:15:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 02:30:00,2025-08-01,2025-08-01 02:30:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 02:45:00,2025-08-01,2025-08-01 02:45:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 03:00:00,2025-08-01,2025-08-01 03:00:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 03:15:00,2025-08-01,2025-08-01 03:15:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 03:30:00,2025-08-01,2025-08-01 03:30:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 03:45:00,2025-08-01,2025-08-01 03:45:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 04:00:00,2025-08-01,2025-08-01 04:00:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 04:15:00,2025-08-01,2025-08-01 04:15:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 04:30:00,2025-08-01,2025-08-01 04:30:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 04:45:00,2025-08-01,2025-08-01 04:45:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 05:00:00,2025-08-01,2025-08-01 05:00:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 05:15:00,2025-08-01,2025-08-01 05:15:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 05:30:00,2025-08-01,2025-08-01 05:30:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 05:45:00,2025-08-01,2025-08-01 05:45:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 06:00:00,2025-08-01,2025-08-01 06:00:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 06:15:00,2025-08-01,2025-08-01 06:15:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 06:30:00,2025-08-01,2025-08-01 06:30:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 06:45:00,2025-08-01,2025-08-01 06:45:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 07:00:00,2025-08-01,2025-08-01 07:00:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 07:15:00,2025-08-01,2025-08-01 07:15:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 07:30:00,2025-08-01,2025-08-01 07:30:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 07:45:00,2025-08-01,2025-08-01 07:45:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 08:00:00,2025-08-01,2025-08-01 08:00:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 08:15:00,2025-08-01,2025-08-01 08:15:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 08:30:00,2025-08-01,2025-08-01 08:30:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 08:45:00,2025-08-01,2025-08-01 08:45:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 09:00:00,2025-08-01,2025-08-01 09:00:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
2025-08-01 09:15:00,2025-08-01,2025-08-01 09:15:00,24.8,24.8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,0.0,0.0
